"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/14/2023 11:04'02"	"44971.4611342593"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:04'12"	"44971.4612500000"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:04'22"	"44971.4613657407"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:04'32"	"44971.4614814815"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:04'42"	"44971.4615972222"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:04'52"	"44971.4617129630"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:05'02"	"44971.4618287037"	"  25.4000"	"  21.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:05'12"	"44971.4619444444"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:05'22"	"44971.4620601852"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:05'32"	"44971.4621759259"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:05'42"	"44971.4622916667"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:05'52"	"44971.4624074074"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:06'02"	"44971.4625231481"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:06'12"	"44971.4626388889"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:06'22"	"44971.4627546296"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:06'32"	"44971.4628703704"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:06'42"	"44971.4629861111"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:06'52"	"44971.4631018519"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'02"	"44971.4632175926"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'12"	"44971.4633333333"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'22"	"44971.4634490741"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'32"	"44971.4635648148"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'42"	"44971.4636805556"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:07'52"	"44971.4637962963"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:08'02"	"44971.4639120370"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:08'12"	"44971.4640277778"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:08'22"	"44971.4641435185"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:08'32"	"44971.4642592593"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:08'42"	"44971.4643750000"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:08'52"	"44971.4644907407"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:09'02"	"44971.4646064815"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:09'12"	"44971.4647222222"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:09'22"	"44971.4648379630"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:09'32"	"44971.4649537037"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:09'42"	"44971.4650694444"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:09'52"	"44971.4651851852"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'02"	"44971.4653009259"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'12"	"44971.4654166667"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'22"	"44971.4655324074"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'32"	"44971.4656481481"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'42"	"44971.4657638889"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:10'52"	"44971.4658796296"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'02"	"44971.4659953704"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'12"	"44971.4661111111"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'22"	"44971.4662268519"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'32"	"44971.4663425926"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'42"	"44971.4664583333"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:11'52"	"44971.4665740741"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:12'02"	"44971.4666898148"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:12'12"	"44971.4668055556"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:12'22"	"44971.4669212963"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:12'32"	"44971.4670370370"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:12'42"	"44971.4671527778"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:12'52"	"44971.4672685185"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'02"	"44971.4673842593"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'12"	"44971.4675000000"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'22"	"44971.4676157407"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'32"	"44971.4677314815"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'42"	"44971.4678472222"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:13'52"	"44971.4679629630"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:14'02"	"44971.4680787037"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:14'12"	"44971.4681944444"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:14'22"	"44971.4683101852"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:14'32"	"44971.4684259259"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:14'42"	"44971.4685416667"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:14'52"	"44971.4686574074"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'02"	"44971.4687731481"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'12"	"44971.4688888889"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'22"	"44971.4690046296"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'32"	"44971.4691203704"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'42"	"44971.4692361111"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:15'52"	"44971.4693518519"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:16'02"	"44971.4694675926"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:16'12"	"44971.4695833333"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:16'22"	"44971.4696990741"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:16'32"	"44971.4698148148"	"  25.4000"	"  19.0000"	"  1006.9000"	""	""	""	""	""	
